price updated
price updated
price updated
price updated
price updated
price updated
price updated
price updated
Traceback (most recent call last):
  File "/home/andrea/Desktop/paywac_website_v02/cronjob_scripts/cron_update_gas_price.py", line 44, in <module>
    print(str(datetime.now())+' -- price updated')
NameError: name 'datetime' is not defined
2019-09-28 10:39:02.887109 -- price updated
2019-09-28 10:42:02.771847 -- price updated
2019-09-28 10:45:02.745263 -- price updated
2019-09-28 10:48:03.056054 -- price updated
2019-09-28 10:51:03.085296 -- price updated
2019-09-28 10:54:02.373057 -- price updated
2019-09-28 10:57:02.901052 -- price updated
2019-09-28 11:00:03.542828 -- price updated
2019-09-28 11:03:02.914802 -- price updated
2019-09-28 11:06:03.340871 -- price updated
2019-09-28 11:09:02.648432 -- price updated
2019-09-28 11:12:02.770971 -- price updated
2019-09-28 11:15:03.028470 -- price updated
2019-09-28 11:18:02.280277 -- price updated
2019-09-28 11:21:02.041371 -- price updated
2019-09-28 11:24:02.360168 -- price updated
2019-09-28 11:27:02.749057 -- price updated
2019-09-28 11:30:03.383985 -- price updated
2019-09-28 11:33:02.717170 -- price updated
2019-09-28 11:36:03.053637 -- price updated
2019-09-28 11:39:02.357049 -- price updated
2019-09-28 11:42:02.346106 -- price updated
2019-09-28 11:45:02.645431 -- price updated
2019-09-28 11:48:02.931768 -- price updated
2019-09-28 11:51:02.842709 -- price updated
2019-09-28 11:54:03.175146 -- price updated
2019-09-28 11:57:02.789447 -- price updated
2019-09-28 12:00:03.213693 -- price updated
2019-09-28 12:03:02.520726 -- price updated
2019-09-28 12:06:02.996579 -- price updated
2019-09-28 12:09:02.381401 -- price updated
2019-09-28 12:12:02.364206 -- price updated
2019-09-28 12:15:02.607834 -- price updated
2019-09-28 12:18:02.830977 -- price updated
2019-09-28 12:21:02.687582 -- price updated
2019-09-28 12:24:02.953547 -- price updated
2019-09-28 12:27:02.253922 -- price updated
2019-09-28 12:30:03.117997 -- price updated
2019-09-28 12:33:02.459713 -- price updated
2019-09-28 12:36:02.819448 -- price updated
2019-09-28 12:39:03.233681 -- price updated
2019-09-28 12:42:02.233793 -- price updated
2019-09-28 12:45:03.000286 -- price updated
2019-09-28 12:48:04.423765 -- price updated
2019-09-28 12:51:04.294498 -- price updated
2019-09-28 12:54:04.880159 -- price updated
2019-09-28 12:57:04.808930 -- price updated
2019-09-28 13:00:05.833256 -- price updated
2019-09-28 13:03:05.405526 -- price updated
2019-09-28 13:06:03.078029 -- price updated
2019-09-28 13:09:04.844036 -- price updated
2019-09-28 13:12:02.735180 -- price updated
2019-09-28 13:15:03.520230 -- price updated
2019-09-28 13:18:03.383802 -- price updated
2019-09-28 13:21:02.730386 -- price updated
2019-09-28 13:24:03.643749 -- price updated
2019-09-28 13:27:04.133760 -- price updated
2019-09-28 13:30:04.825178 -- price updated
2019-09-28 13:33:04.141397 -- price updated
2019-09-28 13:36:03.790787 -- price updated
2019-09-28 13:39:04.844696 -- price updated
2019-09-28 13:42:03.093886 -- price updated
2019-09-28 13:45:02.391802 -- price updated
2019-09-28 13:48:03.183465 -- price updated
2019-09-28 13:51:02.929150 -- price updated
2019-09-28 13:54:02.780055 -- price updated
2019-09-28 13:57:05.519177 -- price updated
2019-09-28 14:00:04.376894 -- price updated
2019-09-28 16:18:03.210980 -- price updated
2019-09-28 16:21:03.441260 -- price updated
2019-09-28 16:24:02.805006 -- price updated
2019-09-28 16:27:03.168785 -- price updated
2019-09-28 16:30:02.856031 -- price updated
2019-09-28 16:33:03.102360 -- price updated
2019-09-28 16:36:02.582563 -- price updated
2019-09-28 16:39:03.026665 -- price updated
2019-09-28 16:42:02.655676 -- price updated
2019-09-28 16:45:03.252755 -- price updated
2019-09-28 16:48:02.671458 -- price updated
2019-09-28 16:51:03.745565 -- price updated
2019-09-28 16:54:04.114936 -- price updated
2019-09-28 16:57:03.277900 -- price updated
2019-09-28 17:00:03.313930 -- price updated
2019-09-28 17:03:02.608468 -- price updated
2019-09-28 17:06:02.539209 -- price updated
2019-09-28 17:09:02.876312 -- price updated
2019-09-28 17:12:03.156163 -- price updated
2019-09-28 17:15:02.902750 -- price updated
2019-09-28 17:18:03.965650 -- price updated
2019-09-28 17:21:03.208983 -- price updated
2019-09-28 17:24:02.364156 -- price updated
2019-09-28 17:27:02.615758 -- price updated
2019-09-28 17:30:03.333615 -- price updated
2019-09-28 17:33:02.774579 -- price updated
2019-09-28 17:36:03.013101 -- price updated
2019-09-28 17:39:02.143228 -- price updated
2019-09-28 17:42:03.341989 -- price updated
2019-09-28 17:45:03.185957 -- price updated
2019-09-28 17:48:02.763456 -- price updated
2019-09-28 17:51:02.834657 -- price updated
2019-09-28 17:54:03.163491 -- price updated
2019-09-28 17:57:02.487060 -- price updated
2019-09-28 18:00:03.576271 -- price updated
2019-09-28 18:03:02.957937 -- price updated
2019-09-28 18:06:02.322859 -- price updated
2019-09-28 18:09:02.781018 -- price updated
2019-09-28 18:12:02.755731 -- price updated
2019-09-28 18:15:03.242545 -- price updated
2019-09-28 18:18:03.071159 -- price updated
2019-09-28 18:21:03.286153 -- price updated
2019-09-28 18:24:02.803245 -- price updated
2019-09-28 18:27:03.125657 -- price updated
2019-09-28 18:30:03.173730 -- price updated
2019-09-28 18:33:02.520301 -- price updated
2019-09-28 18:36:03.141794 -- price updated
2019-09-28 18:39:02.690214 -- price updated
2019-09-29 10:45:03.469739 -- price updated
2019-09-29 10:48:02.754916 -- price updated
2019-09-29 10:51:03.075204 -- price updated
2019-09-29 10:54:02.387120 -- price updated
2019-09-29 10:57:02.876261 -- price updated
2019-09-29 11:00:03.763551 -- price updated
2019-09-29 11:03:03.186893 -- price updated
2019-09-29 11:06:02.495379 -- price updated
2019-09-29 11:09:02.825470 -- price updated
2019-09-29 11:12:02.748822 -- price updated
2019-09-29 11:15:03.600843 -- price updated
2019-09-29 11:18:03.886152 -- price updated
2019-09-29 11:21:03.190536 -- price updated
2019-09-29 11:24:02.497662 -- price updated
2019-09-29 11:27:02.614863 -- price updated
2019-09-29 11:30:03.779924 -- price updated
2019-09-29 11:33:03.376121 -- price updated
2019-09-29 11:36:02.671056 -- price updated
2019-09-29 11:39:03.008575 -- price updated
2019-09-29 11:42:03.022006 -- price updated
2019-09-29 11:45:02.655050 -- price updated
2019-09-29 11:48:02.962847 -- price updated
2019-09-29 11:51:02.887474 -- price updated
2019-09-29 11:54:03.219291 -- price updated
2019-09-29 11:57:02.718229 -- price updated
2019-09-29 12:00:03.884852 -- price updated
2019-09-29 12:03:02.632546 -- price updated
2019-09-29 12:06:03.447085 -- price updated
2019-09-29 12:09:02.862897 -- price updated
2019-09-29 12:12:02.951846 -- price updated
2019-09-29 12:15:02.555487 -- price updated
2019-09-29 12:18:02.870435 -- price updated
2019-09-29 12:21:02.757057 -- price updated
2019-09-29 12:24:03.107322 -- price updated
2019-09-29 12:27:02.430751 -- price updated
2019-09-29 12:30:03.689546 -- price updated
2019-09-29 12:33:03.221620 -- price updated
2019-09-29 12:36:02.569594 -- price updated
2019-09-29 12:39:03.117171 -- price updated
2019-09-29 12:42:03.152618 -- price updated
2019-09-29 12:45:03.065760 -- price updated
2019-09-29 12:48:02.502876 -- price updated
2019-09-29 12:51:02.387726 -- price updated
2019-09-29 12:54:02.553393 -- price updated
2019-09-29 12:57:04.134253 -- price updated
2019-09-29 13:00:03.065343 -- price updated
2019-09-29 13:03:02.468787 -- price updated
2019-09-29 13:06:02.859789 -- price updated
2019-09-29 13:09:02.916271 -- price updated
2019-09-29 13:12:02.821531 -- price updated
2019-09-29 13:15:03.466224 -- price updated
2019-09-29 13:18:02.780792 -- price updated
2019-09-29 13:21:02.767427 -- price updated
2019-09-29 13:24:03.124976 -- price updated
2019-09-29 13:27:02.434906 -- price updated
2019-09-29 13:30:03.687403 -- price updated
2019-09-29 13:33:03.160130 -- price updated
2019-09-29 13:36:02.631838 -- price updated
2019-09-29 13:39:02.950553 -- price updated
2019-09-29 13:42:03.040120 -- price updated
2019-09-29 13:45:02.782089 -- price updated
2019-09-29 13:48:03.680178 -- price updated
2019-09-29 13:51:03.393761 -- price updated
2019-09-29 13:54:03.033177 -- price updated
2019-09-29 13:57:02.771553 -- price updated
2019-09-29 14:00:03.986698 -- price updated
2019-09-29 16:21:02.649544 -- price updated
2019-09-29 16:24:03.050718 -- price updated
2019-09-29 16:27:02.552967 -- price updated
2019-09-29 16:30:03.453702 -- price updated
2019-09-29 16:33:03.016498 -- price updated
2019-09-29 16:36:02.033873 -- price updated
2019-09-29 16:39:02.285944 -- price updated
2019-09-29 16:42:03.382629 -- price updated
2019-09-29 16:45:03.283053 -- price updated
2019-09-29 16:48:02.771957 -- price updated
2019-09-29 16:51:02.678638 -- price updated
2019-09-29 16:54:03.777536 -- price updated
2019-09-29 16:57:02.826276 -- price updated
2019-09-29 17:00:03.812487 -- price updated
2019-09-29 17:03:03.173151 -- price updated
2019-09-29 17:06:02.516980 -- price updated
2019-09-29 17:09:02.772530 -- price updated
2019-09-29 17:12:02.771895 -- price updated
2019-09-29 17:15:03.724506 -- price updated
2019-09-29 17:18:03.146793 -- price updated
2019-09-29 17:21:03.181715 -- price updated
2019-09-29 17:24:03.353266 -- price updated
2019-09-29 17:27:02.814644 -- price updated
2019-09-29 17:30:04.042147 -- price updated
2019-09-29 17:33:02.905081 -- price updated
2019-09-29 17:36:04.892368 -- price updated
2019-09-29 17:39:04.279020 -- price updated
2019-09-29 17:42:02.259949 -- price updated
2019-09-29 17:45:04.931718 -- price updated
